case_id,Ft,Fh2,NO3In_H2O_Flow,NO3In_CL_Flow,NO3In_NA_Flow,NO3In_NO3_Flow,NO3In_SO4_Flow
25,8500.0,15.0,7621.015,453.90000000000003,330.565,78.625,15.895
26,8524.166666666666,5.0,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
27,8524.166666666666,5.416666666666667,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
28,8524.166666666666,5.833333333333333,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
29,8524.166666666666,6.25,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
30,8524.166666666666,6.666666666666667,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
31,8524.166666666666,7.083333333333334,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
32,8524.166666666666,7.5,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
33,8524.166666666666,7.916666666666667,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
34,8524.166666666666,8.333333333333334,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
35,8524.166666666666,8.75,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
36,8524.166666666666,9.166666666666668,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
37,8524.166666666666,9.583333333333334,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
38,8524.166666666666,10.0,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
39,8524.166666666666,10.416666666666668,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
40,8524.166666666666,10.833333333333334,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
41,8524.166666666666,11.25,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
42,8524.166666666666,11.666666666666668,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
43,8524.166666666666,12.083333333333334,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
44,8524.166666666666,12.5,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
45,8524.166666666666,12.916666666666668,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
46,8524.166666666666,13.333333333333334,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
47,8524.166666666666,13.75,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
48,8524.166666666666,14.166666666666668,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
49,8524.166666666666,14.583333333333334,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
50,8524.166666666666,15.0,7642.682591666666,455.1905,331.50484166666666,78.84854166666666,15.940191666666665
51,8548.333333333334,5.0,7664.350183333334,456.48100000000005,332.4446833333334,79.07208333333334,15.985383333333333
52,8548.333333333334,5.416666666666667,7664.350183333334,456.48100000000005,332.4446833333334,79.07208333333334,15.985383333333333
53,8548.333333333334,5.833333333333333,7664.350183333334,456.48100000000005,332.4446833333334,79.07208333333334,15.985383333333333
54,8548.333333333334,6.25,7664.350183333334,456.48100000000005,332.4446833333334,79.07208333333334,15.985383333333333
55,8548.333333333334,6.666666666666667,7664.350183333334,456.48100000000005,332.4446833333334,79.07208333333334,15.985383333333333
56,8548.333333333334,7.083333333333334,7664.350183333334,456.48100000000005,332.4446833333334,79.07208333333334,15.985383333333333
